Name,Rarity,Slot,Outfit,Labels,Source,Style,Banner
Blooming Pact,5,Hair,Blossoming Stars,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Evening Banquet,5,Hair,Blossoming Stars: Dreamfall,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Firefly Brilliance,5,Hair,Blossoming Stars: Radiance,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Silver Shimmer,5,Hair,Blossoming Stars: Starlight,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Morning Sunlight,5,Hair,Fairytale Swan,Formal,Resonance from the Distant Sea,Sexy,Distant Sea
Moonlit Chords,5,Hair,Fairytale Swan: Dream,Formal,Resonance from the Distant Sea,Sexy,Distant Sea
Flame's Embers,5,Hair,Fairytale Swan: Mystfire,Formal,Resonance from the Distant Sea,Sexy,Distant Sea
Moonlit Glide,5,Hair,Fairytale Swan: Truth,Formal,Resonance from the Distant Sea,Sexy,Distant Sea
Fluttermist Isle,5,Hair,Flutter Storm,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Windborne Realm,5,Hair,Flutter Storm: Dream Chant,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Cursed Storm,5,Hair,Flutter Storm: Flame Song,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Etched by the Wind,5,Hair,Flutter Storm: Forest Song,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Starry Splendor,5,Dress,Blossoming Stars,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Ethereal Dreamland,5,Dress,Blossoming Stars: Dreamfall,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Eternal Radiance,5,Dress,Blossoming Stars: Radiance,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Rustling Stars,5,Dress,Blossoming Stars: Starlight,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Blooming Grace,5,Dress,Fairytale Swan,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Lake of Tears,5,Dress,Fairytale Swan: Dream,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Swan's Heartfire,5,Dress,Fairytale Swan: Mystfire,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Beyond the Stars,5,Dress,Fairytale Swan: Truth,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Fluttering Twist,5,Dress,Flutter Storm,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Winged Illusions,5,Dress,Flutter Storm: Dream Chant,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Embers of the Butterfly,5,Dress,Flutter Storm: Flame Song,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Silent Woodland,5,Dress,Flutter Storm: Forest Song,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Fluttering Wishes,5,Dress,,Royal,A classic clothing piece from Marques Boutique.,Elegant,
Raging Rockling,5,Top,,Playful,Treasure guarded by Esselings.,Cool,
Imminent Bloom,5,Socks,Blossoming Stars,Romance,Resonance from the Distant Sea,Fresh,Distant Sea
Long Dreaming,5,Socks,Blossoming Stars: Dreamfall,Romance,Resonance from the Distant Sea,Fresh,Distant Sea
Starry Tread,5,Socks,Blossoming Stars: Radiance,Romance,Resonance from the Distant Sea,Fresh,Distant Sea
Misty Silhouette,5,Socks,Blossoming Stars: Starlight,Romance,Resonance from the Distant Sea,Fresh,Distant Sea
Interwoven with Love,5,Socks,Fairytale Swan,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Shadow Pacing,5,Socks,Fairytale Swan: Dream,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Through the Flames,5,Socks,Fairytale Swan: Mystfire,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Plumes of Aurora,5,Socks,Fairytale Swan: Truth,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Windborne Memories,5,Socks,Flutter Storm,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Enduring Ballad,5,Socks,Flutter Storm: Dream Chant,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Land of Winds,5,Socks,Flutter Storm: Flame Song,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Dreamwalker's Forest,5,Socks,Flutter Storm: Forest Song,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Starry Pathway,5,Shoes,Blossoming Stars,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Floating Shore,5,Shoes,Blossoming Stars: Dreamfall,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Chasing Stars,5,Shoes,Blossoming Stars: Radiance,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Floral Stardust,5,Shoes,Blossoming Stars: Starlight,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Ripple Tracker,5,Shoes,Fairytale Swan,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Feathered Waltz,5,Shoes,Fairytale Swan: Dream,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Omen of Revival,5,Shoes,Fairytale Swan: Mystfire,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Voyage of Stars,5,Shoes,Fairytale Swan: Truth,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Offshore Breeze,5,Shoes,Flutter Storm,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Resting in the Rift,5,Shoes,Flutter Storm: Dream Chant,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Path of Sorrow,5,Shoes,Flutter Storm: Flame Song,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Echoes of the Wind,5,Shoes,Flutter Storm: Forest Song,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Pearly Bird,5,Shoes,,Fantasy,Treasure guarded by Esselings.,Sweet,
Starlit Dreams,5,Hair Accessory,Blossoming Stars,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Mist Glow,5,Hair Accessory,Blossoming Stars: Dreamfall,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Glistening Moment,5,Hair Accessory,Blossoming Stars: Radiance,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Blooming Starfall,5,Hair Accessory,Blossoming Stars: Starlight,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Bloom Together,5,Headwear,Blossoming Stars,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Moon in Flowers,5,Headwear,Blossoming Stars: Dreamfall,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
White Branches,5,Headwear,Blossoming Stars: Radiance,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Snow on Branches,5,Headwear,Blossoming Stars: Starlight,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Fluttering Feathers,5,Headwear,Fairytale Swan,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Starry Night,5,Headwear,Fairytale Swan: Dream,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Forged in Flames,5,Headwear,Fairytale Swan: Mystfire,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Covenant of Swans,5,Headwear,Fairytale Swan: Truth,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Frigid Branches,5,Headwear,Flutter Storm,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Dreams of the Past,5,Headwear,Flutter Storm: Dream Chant,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Beneath the Ashes,5,Headwear,Flutter Storm: Flame Song,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Lonely Branches,5,Headwear,Flutter Storm: Forest Song,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Eternal Harmony,5,Headwear,,Formal,Proof of styling prowess.,Elegant,
Astral Petals,5,Earrings,Blossoming Stars,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Forgotten Drift,5,Earrings,Blossoming Stars: Dreamfall,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Golden Blossom,5,Earrings,Blossoming Stars: Radiance,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Star Blossom,5,Earrings,Blossoming Stars: Starlight,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Swaying Ode,5,Earrings,Fairytale Swan,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Feather's Whisper,5,Earrings,Fairytale Swan: Dream,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Nest of Dreams and Sleep,5,Earrings,Fairytale Swan: Mystfire,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Sigh of Ether,5,Earrings,Fairytale Swan: Truth,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Windhowl Tears,5,Earrings,Flutter Storm,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Butterfly's Dance,5,Earrings,Flutter Storm: Dream Chant,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Butterfly Elegy,5,Earrings,Flutter Storm: Flame Song,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Isolated Melody,5,Earrings,Flutter Storm: Forest Song,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Blossom Promenade,5,Neckwear,Blossoming Stars,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Dreams Lost,5,Neckwear,Blossoming Stars: Dreamfall,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Dawning Light,5,Neckwear,Blossoming Stars: Radiance,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Milky Way Overflow,5,Neckwear,Blossoming Stars: Starlight,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Silent Perch,5,Neckwear,Flutter Storm,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Dreams on Wings,5,Neckwear,Flutter Storm: Dream Chant,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Amid the Storm,5,Neckwear,Flutter Storm: Flame Song,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Shaded Green,5,Neckwear,Flutter Storm: Forest Song,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Distant Twinkle,5,Bracelet,Blossoming Stars,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Starlight Submersion,5,Bracelet,Blossoming Stars: Dreamfall,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Pure Wish,5,Bracelet,Blossoming Stars: Radiance,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Cloud Cluster,5,Bracelet,Blossoming Stars: Starlight,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Swan Sonata,5,Choker,Fairytale Swan,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Scattered Plume,5,Choker,Fairytale Swan: Dream,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Feathers of Passion,5,Choker,Fairytale Swan: Mystfire,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Tail of Comet,5,Choker,Fairytale Swan: Truth,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Sealing Cocoon,5,Choker,Flutter Storm,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Endless Gaze,5,Choker,Flutter Storm: Dream Chant,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Fated Chains,5,Choker,Flutter Storm: Flame Song,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Green Slumber,5,Choker,Flutter Storm: Forest Song,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Feathered Gleam,5,Gloves,Fairytale Swan,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Harmonic Wings,5,Gloves,Fairytale Swan: Dream,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Trial of Wings,5,Gloves,Fairytale Swan: Mystfire,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Glimmer of Hope,5,Gloves,Fairytale Swan: Truth,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Delicate Wings,5,Gloves,Flutter Storm,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Fluttering Butterfly,5,Gloves,Flutter Storm: Dream Chant,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Fervent Longing,5,Gloves,Flutter Storm: Flame Song,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Lingering Warmth,5,Gloves,Flutter Storm: Forest Song,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Wishful Honors,5,Chest Accessory,,Fashion,Proof of styling prowess.,Elegant,
Starry Guidance,5,Ring,Fairytale Swan,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Lingering Dreams,5,Ring,Fairytale Swan: Dream,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Burnt to Ashes,5,Ring,Fairytale Swan: Mystfire,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Path of Stars,5,Ring,Fairytale Swan: Truth,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Eternal Blossoms,5,Handheld,,Romance,Proof of styling prowess.,Elegant,
Dreamy Ripples,5,Base Makeup,,,Resonance from the Distant Sea,Elegant,Distant Sea
Mermaid's Glow,5,Base Makeup,,,Resonance from the Distant Sea,Elegant,Butterfly Dream
Spring Breeze,5,Base Makeup,,,Resonance from the Distant Sea,Elegant,Distant Sea
Nimbus Dreams,5,Eyebrows,,,Resonance from the Distant Sea,Elegant,Distant Sea
Snowy Branches,5,Eyebrows,,,Resonance from the Distant Sea,Elegant,Butterfly Dream
Warm Brown,5,Eyebrows,,,Resonance from the Distant Sea,Elegant,Distant Sea
Aromalily's Heart,5,Eyelashes,,,Resonance from the Distant Sea,Elegant,Butterfly Dream
Delicate Heartstrings,5,Eyelashes,,,Resonance from the Distant Sea,Elegant,Distant Sea
Feathery Sway,5,Eyelashes,,,Resonance from the Distant Sea,Elegant,Distant Sea
Crystal Gaze,5,Contact Lenses,,,Resonance from the Distant Sea,Elegant,Distant Sea
Dainty Yellow,5,Contact Lenses,,,Resonance from the Distant Sea,Elegant,Distant Sea
Snowy Sky,5,Contact Lenses,,,Resonance from the Distant Sea,Elegant,Butterfly Dream
Light Tangerine,5,Lips,,,Resonance from the Distant Sea,Elegant,Distant Sea
Mermaid Icebloom,5,Lips,,,Resonance from the Distant Sea,Elegant,Butterfly Dream
Rose in Blossom,5,Lips,,,Resonance from the Distant Sea,Elegant,Distant Sea
Air Bubbles,4,Hair,Bubbly Voyage,Summer,Insights of the Heart of Infinity.,Sweet,
Fresh Breeze,4,Hair,Bubbly Voyage: Spring,Summer,Insights of the Heart of Infinity.,Sweet,
Friendly Impression,4,Hair,Bye-Bye Dust,Playful,Insights of the Heart of Infinity.,Sweet,
Cat Paw,4,Hair,Bye-Bye Dust: Kitty,Playful,Insights of the Heart of Infinity.,Sweet,
Distant Memory,4,Hair,Floral Memory,Retro,Insights of the Heart of Infinity.,Fresh,
Distant Aroma,4,Hair,Floral Memory: Gleam,Retro,Insights of the Heart of Infinity.,Fresh,
Painting Blossoms,4,Hair,Flowing Colors,Playful,Resonance from the Distant Sea,Fresh,Butterfly Dream
Solo of the Stars,4,Hair,Flowing Colors: Dreamy,Playful,Resonance from the Distant Sea,Fresh,Butterfly Dream
Troubleshooter,4,Hair,Fully Charged,Uniform,Insights of the Heart of Infinity.,Cool,
Colorful Gradient,4,Hair,Fully Charged: Refreshing,Uniform,Insights of the Heart of Infinity.,Cool,
Windswept Wheat,4,Hair,Hometown Breeze,Pastoral,A gift from the Cadenceborn to those who offer the Dew of Inspiration.,Fresh,
Silvernight Whispers,4,Hair,Hometown Breeze: Hopeful,Pastoral,A gift from the Cadenceborn to those who offer the Dew of Inspiration.,Fresh,
Tomorrow's Vows,4,Hair,Rebirth Wish,Retro,A gift from the Cadenceborn to those who offer the Dew of Inspiration.,Sweet,
Vibrant Life,4,Hair,Rebirth Wish: Blooming,Retro,A gift from the Cadenceborn to those who offer the Dew of Inspiration.,Sweet,
Rippling Waves,4,Hair,Rippling Serenity,Simple,Insights of the Heart of Infinity.,Cool,
Entrance Invitation,4,Hair,Rippling Serenity: Dream,Simple,Insights of the Heart of Infinity.,Cool,
Mellifluous Melody,4,Hair,Sweet Jazz Nights,Cute,Resonance from the Distant Sea,Sweet,Distant Sea
Glittering Night,4,Hair,Sweet Jazz Nights: Waltz,Cute,Resonance from the Distant Sea,Sweet,Distant Sea
Spring Whispers,4,Hair,Wind of Purity,Romance,Insights of the Heart of Infinity.,Elegant,
Dancing Waves,4,Hair,,Playful,Resonance from the Distant Sea,Fresh,Distant Sea
Mature Short Hair,4,Hair,,Fashion,An unexpected surprise from the Surprise-O-Matic.,Sexy,
Whispering Bubbles,4,Dress,Bubbly Voyage,Summer,Insights of the Heart of Infinity.,Sweet,
Bubbly Aroma,4,Dress,Bubbly Voyage: Spring,Summer,Insights of the Heart of Infinity.,Sweet,
Sky Fall,4,Dress,Floral Memory,Retro,Insights of the Heart of Infinity.,Fresh,
Golden Memory,4,Dress,Floral Memory: Gleam,Retro,Insights of the Heart of Infinity.,Fresh,
Circuit Connection,4,Dress,Fully Charged,Uniform,Insights of the Heart of Infinity.,Cool,
Crackling Electricity,4,Dress,Fully Charged: Refreshing,Uniform,Insights of the Heart of Infinity.,Cool,
Song of Harvest,4,Dress,Hometown Breeze,Pastoral,A gift from the Cadenceborn to those who offer the Dew of Inspiration.,Fresh,
Wishful Flowers,4,Dress,Hometown Breeze: Hopeful,Pastoral,A gift from the Cadenceborn to those who offer the Dew of Inspiration.,Fresh,
Paper Crane's Flight,4,Dress,Rebirth Wish,Retro,A gift from the Cadenceborn to those who offer the Dew of Inspiration.,Elegant,
Silent Sea,4,Dress,Rebirth Wish: Blooming,Retro,A gift from the Cadenceborn to those who offer the Dew of Inspiration.,Elegant,
Chuckle Trainee,4,Dress,Sweet Jazz Nights,Cute,Resonance from the Distant Sea,Sweet,Distant Sea
Graceful Spin,4,Dress,Sweet Jazz Nights: Waltz,Cute,Resonance from the Distant Sea,Sweet,Distant Sea
Melodic Heart,4,Dress,Symphony of Strings,Romance,Insights of the Heart of Infinity.,Sweet,
Pure Melody,4,Dress,Wind of Purity,Romance,Insights of the Heart of Infinity.,Elegant,
Imaginative Painting,4,Outerwear,Flowing Colors,Playful,Resonance from the Distant Sea,Fresh,Butterfly Dream
Wandering Thoughts,4,Outerwear,Flowing Colors: Dreamy,Playful,Resonance from the Distant Sea,Fresh,Butterfly Dream
Through the Storm,4,Outerwear,Rebirth Wish,Retro,A gift from the Cadenceborn to those who offer the Dew of Inspiration.,Sweet,
Wish of All,4,Outerwear,Rebirth Wish: Blooming,Retro,A gift from the Cadenceborn to those who offer the Dew of Inspiration.,Sweet,
Puffy Sleeves,4,Outerwear,Rippling Serenity,Simple,Insights of the Heart of Infinity.,Cool,
Flow of the Night,4,Outerwear,Rippling Serenity: Dream,Simple,Insights of the Heart of Infinity.,Cool,
Siesta Tunes,4,Top,Afternoon Shine,Adventure,Insights of the Heart of Infinity.,Sweet,
Purity Guardian,4,Top,Bye-Bye Dust,Playful,Insights of the Heart of Infinity.,Sweet,
Monochrome Mood,4,Top,Bye-Bye Dust: Kitty,Playful,Insights of the Heart of Infinity.,Sweet,
Splashed Ink,4,Top,Flowing Colors,Playful,Resonance from the Distant Sea,Fresh,Butterfly Dream
Passing Seasons,4,Top,Flowing Colors: Dreamy,Playful,Resonance from the Distant Sea,Fresh,Butterfly Dream
Azure Waters,4,Top,Rippling Serenity,Simple,Insights of the Heart of Infinity.,Cool,
Joy of Fish,4,Top,Rippling Serenity: Dream,Simple,Insights of the Heart of Infinity.,Cool,
Pink Sailor,4,Top,Shark Mirage: Summer,Playful,Resonance from the Distant Sea,Cool,Distant Sea
Set Sail,4,Top,Tidal Shark Mirage,Playful,Resonance from the Distant Sea,Cool,Distant Sea
Ceremony Guest,4,Top,,Retro,Rare treasures scattered in chests found all around the world.,Elegant,
